bit_width,total_latency_ns,tests
1,275145,100000
2,501355,100000
3,734953,100000
4,958991,100000
5,1175461,100000
6,1385595,100000
7,1592017,100000
8,1795609,100000
9,1997341,100000
10,2198725,100000
11,2399209,100000
12,2599559,100000
13,2799917,100000
14,2999911,100000
15,3199937,100000
16,3400001,100000
17,3600001,100000
18,3800001,100000
19,4000001,100000
20,4200001,100000
21,4400001,100000
22,4600001,100000
23,4800001,100000
24,5000001,100000
25,5200001,100000
26,5400001,100000
27,5600001,100000
28,5800001,100000
29,6000001,100000
30,6200001,100000
31,6400001,100000
32,6600001,100000
