bit_width,total_latency_ns,tests
1,253338,100000
2,428727,100000
3,642633,100000
4,861771,100000
5,1075197,100000
6,1285049,100000
7,1491441,100000
8,1695915,100000
9,1897421,100000
10,2098153,100000
11,2299257,100000
12,2499663,100000
13,2699637,100000
14,2899791,100000
15,3099905,100000
16,3299933,100000
17,3500001,100000
18,3700001,100000
19,3900001,100000
20,4100001,100000
21,4300001,100000
22,4500001,100000
23,4700001,100000
24,4900001,100000
25,5100001,100000
26,5300001,100000
27,5500001,100000
28,5700001,100000
29,5900001,100000
30,6100001,100000
31,6300001,100000
32,6500001,100000
