bit_width,total_latency_ns,tests
1,167021,100000
2,307366,100000
3,476476,100000
4,600163,100000
5,734896,100000
6,843007,100000
7,899975,100000
8,936495,100000
9,1014249,100000
10,1093075,100000
11,1132638,100000
12,1157789,100000
13,1173372,100000
14,1182343,100000
15,1188741,100000
16,1192516,100000
17,1245524,100000
18,1313232,100000
19,1344949,100000
20,1364768,100000
21,1377075,100000
22,1385233,100000
23,1390370,100000
24,1393801,100000
25,1395995,100000
26,1397327,100000
27,1398280,100000
28,1398826,100000
29,1399221,100000
30,1399505,100000
31,1399687,100000
32,1399782,100000
