bit_width,total_latency_ns,tests
1,200456,100000
2,304024,100000
3,401531,100000
4,486641,100000
5,555437,100000
6,613266,100000
7,661516,100000
8,702302,100000
9,739020,100000
10,770176,100000
11,799107,100000
12,824629,100000
13,850099,100000
14,871544,100000
15,891875,100000
16,912323,100000
17,928959,100000
18,946753,100000
19,962835,100000
20,975090,100000
21,991985,100000
22,1004456,100000
23,1018175,100000
24,1031542,100000
25,1042974,100000
26,1053066,100000
27,1060349,100000
28,1066033,100000
29,1067936,100000
30,1070392,100000
31,1071127,100000
32,1072999,100000
