N,A,B,Cin,P,Output,Expected,Latency
1,0,1,0,z,1,1,2
2,0,1,0,zz,1,1,3
3,0,101,0,zzz,101,101,5
4,0,1101,0,zzzz,1101,1101,6
5,0,1101,0,zzzzz,1101,1101,7
6,0,1101,0,zzzzzz,1101,1101,8
7,0,1001101,0,zzzzzzz,1001101,1001101,8
8,0,1001101,0,zzzzzzzz,1001101,1001101,8
9,0,101001101,0,zzzzzzzzz,101001101,101001101,9
10,0,1101001101,0,zzzzzzzzzz,1101001101,1101001101,10
11,10000000000,1101001101,0,zzzzzzzzzzz,11101001101,11101001101,10
12,10000000000,1101001101,0,zzzzzzzzzzzz,11101001101,11101001101,10
13,10000000000,1001101001101,0,zzzzzzzzzzzzz,1011101001101,1011101001101,10
14,10000000000,11001101001101,0,zzzzzzzzzzzzzz,11011101001101,11011101001101,10
15,100010000000000,111001101001101,0,zzzzzzzzzzzzzzz,1011011101001101,1011011101001101,10
16,100010000000000,111001101001101,0,zzzzzzzzzzzzzzzz,1011011101001101,1011011101001101,10
17,100010000000000,111001101001101,0,zzzzzzzzzzzzzzzzz,1011011101001101,1011011101001101,11
18,100010000000000,111001101001101,0,zzzzzzzzzzzzzzzzzz,1011011101001101,1011011101001101,12
19,1000100010000000000,1000111001101001101,0,zzzzzzzzzzzzzzzzzzz,10001011011101001101,10001011011101001101,12
20,11000100010000000000,1000111001101001101,0,zzzzzzzzzzzzzzzzzzzz,100001011011101001101,100001011011101001101,12
21,11000100010000000000,1000111001101001101,0,zzzzzzzzzzzzzzzzzzzzz,100001011011101001101,100001011011101001101,12
22,1011000100010000000000,1000111001101001101,0,zzzzzzzzzzzzzzzzzzzzzz,1100001011011101001101,1100001011011101001101,12
23,1011000100010000000000,1000111001101001101,0,zzzzzzzzzzzzzzzzzzzzzzz,1100001011011101001101,1100001011011101001101,12
24,1011000100010000000000,100001000111001101001101,0,zzzzzzzzzzzzzzzzzzzzzzzz,101100001011011101001101,101100001011011101001101,12
25,1011000100010000000000,100001000111001101001101,0,zzzzzzzzzzzzzzzzzzzzzzzzz,101100001011011101001101,101100001011011101001101,12
26,1011000100010000000000,10100001000111001101001101,0,zzzzzzzzzzzzzzzzzzzzzzzzzz,10101100001011011101001101,10101100001011011101001101,12
27,1011000100010000000000,110100001000111001101001101,0,zzzzzzzzzzzzzzzzzzzzzzzzzzz,110101100001011011101001101,110101100001011011101001101,12
28,1011000100010000000000,110100001000111001101001101,0,zzzzzzzzzzzzzzzzzzzzzzzzzzzz,110101100001011011101001101,110101100001011011101001101,12
