N,A,B,Cin,Output,Expected,Latency
1,0,1,0,1,1,2
2,0,1,0,1,1,3
3,0,101,0,101,101,4
1,1,1,1,11,11,2
4,0,1101,0,1101,1101,6
5,0,1101,0,1101,1101,7
6,0,1101,0,1101,1101,7
7,0,1001101,0,1001101,1001101,7
8,0,1001101,0,1001101,1001101,7
9,0,101001101,0,101001101,101001101,7
10,0,1101001101,0,1101001101,1101001101,7
1,0,0,1,1,1,2
2,11,1,1,101,101,4
11,10000000000,1101001101,0,11101001101,11101001101,8
1,0,0,1,1,1,0
2,10,10,1,101,101,0
12,10000000000,1101001101,0,11101001101,11101001101,9
13,10000000000,1001101001101,0,1011101001101,1011101001101,9
14,10000000000,11001101001101,0,11011101001101,11011101001101,9
15,100010000000000,111001101001101,0,1011011101001101,1011011101001101,9
16,100010000000000,111001101001101,0,1011011101001101,1011011101001101,9
17,100010000000000,111001101001101,0,1011011101001101,1011011101001101,9
18,100010000000000,111001101001101,0,1011011101001101,1011011101001101,9
19,1000100010000000000,1000111001101001101,0,10001011011101001101,10001011011101001101,9
20,11000100010000000000,1000111001101001101,0,100001011011101001101,100001011011101001101,9
21,11000100010000000000,1000111001101001101,0,100001011011101001101,100001011011101001101,9
22,1011000100010000000000,1000111001101001101,0,1100001011011101001101,1100001011011101001101,9
23,1011000100010000000000,1000111001101001101,0,1100001011011101001101,1100001011011101001101,9
24,1011000100010000000000,100001000111001101001101,0,101100001011011101001101,101100001011011101001101,9
25,1011000100010000000000,100001000111001101001101,0,101100001011011101001101,101100001011011101001101,9
26,1011000100010000000000,10100001000111001101001101,0,10101100001011011101001101,10101100001011011101001101,9
27,1011000100010000000000,110100001000111001101001101,0,110101100001011011101001101,110101100001011011101001101,9
28,1011000100010000000000,110100001000111001101001101,0,110101100001011011101001101,110101100001011011101001101,9
29,1011000100010000000000,110100001000111001101001101,0,110101100001011011101001101,110101100001011011101001101,9
30,1011000100010000000000,100110100001000111001101001101,0,100110101100001011011101001101,100110101100001011011101001101,9
31,1011000100010000000000,100110100001000111001101001101,0,100110101100001011011101001101,100110101100001011011101001101,9
32,10000000001011000100010000000000,100110100001000111001101001101,0,10100110101100001011011101001101,10100110101100001011011101001101,9
3,11,101,1,1001,1001,6
1,1,1,1,11,11,2
2,0,0,1,1,1,2
3,10,110,1,1001,1001,0
3,100,100,1,1001,1001,0
3,101,101,1,1011,1011,0
1,1,0,0,1,1,2
4,1011,101,1,10001,10001,8
2,1,1,1,11,11,3
2,11,0,0,11,11,0
1,1,0,1,10,10,2
2,1,0,1,10,10,0
3,11,100,0,111,111,3
5,1011,10101,1,100001,100001,10
4,1010,1110,1,11001,11001,3
6,1011,10101,1,100001,100001,11
7,1011,10101,1,100001,100001,11
8,10001011,10101,1,10100001,10100001,11
9,10001011,100010101,1,110100001,110100001,11
10,10001011,1100010101,1,1110100001,1110100001,11
11,10010001011,11100010101,1,101110100001,101110100001,11
1,1,1,1,11,11,2
2,11,11,1,111,111,2
12,10010001011,111100010101,1,1001110100001,1001110100001,11
13,10010001011,1111100010101,1,10001110100001,10001110100001,11
14,10010001011,11111100010101,1,100001110100001,100001110100001,11
15,100010010001011,11111100010101,1,1000001110100001,1000001110100001,11
3,1,0,1,10,10,3
5,1010,11110,1,101001,101001,3
16,1100010010001011,11111100010101,1,10000001110100001,10000001110100001,12
4,100,1100,1,10001,10001,3
6,1010,111110,1,1001001,1001001,3
7,1010,111110,1,1001001,1001001,3
8,10001010,111110,1,11001001,11001001,3
9,110001010,111110,1,111001001,111001001,3
10,1110001010,111110,1,1111001001,1111001001,3
1,0,0,0,0,0,2
11,1110001010,10000111110,1,11111001001,11111001001,3
17,11100010010001011,11111100010101,1,100000001110100001,100000001110100001,14
2,0,0,0,0,0,3
3,11,11,1,111,111,3
5,100,1100,1,10001,10001,3
12,1110001010,110000111110,1,111111001001,111111001001,4
18,11100010010001011,100011111100010101,1,1000000001110100001,1000000001110100001,16
1,1,1,1,11,11,2
4,101,101,1,1011,1011,3
13,1110001010,110000111110,1,111111001001,111111001001,5
14,10001110001010,110000111110,1,10111111001001,10111111001001,5
15,10001110001010,110000111110,1,10111111001001,10111111001001,5
6,100,101100,1,110001,110001,4
16,10001110001010,110000111110,1,10111111001001,10111111001001,5
19,1011100010010001011,100011111100010101,1,10000000001110100001,10000000001110100001,18
1,1,1,0,10,10,1
